tên_bệnh,hội_chứng,chủ_chứng,triệu_chứng,lưỡi,mạch,bài_thuốc,vị_thuốc
Trúng phong,Đờm nhiệt nội bế thanh khiếu,"liệt, méo miệng, bán thân bất toại, tê bại, khó nói, mất ngôn ngữ, trúng phong, tai biến","Đột ngột hôn mê, liệt nửa người, ngạt mũi, đờm khò khè, tay chân gồng cứng co rút, gáy lưng và cơ thể nóng, bứt rứt không yên, tay chân lạnh, có khi nôn ra máu, lưỡi đỏ sẫm, rêu vàng nhờn hoặc khô, mạch Huyền Hoạt Sác","lưỡi đỏ sẫm, rêu vàng nhờn hoặc khô",mạch Huyền Hoạt Sác,Thanh nhiệt hóa đờm tỉnh thần khai khiếu - Linh Dương Giác Thang kèm An Cung Ngưu Hoàng Hoàn,"Linh dương giác, Trân châu, Trúc nhự, Thiên trúc, Xương bồ, Viễn trí, Hạ khô thảo, Đan bì, An Cung Ngưu Hoàng Hoàn"
Trúng phong,Đờm thấp che lấp tâm khiếu,"liệt, méo miệng, bán thân bất toại, tê bại, khó nói, mất ngôn ngữ, trúng phong, tai biến","Cơ thể vốn dương hư, thấp đờm nội uẩn, hôn mê, liệt nửa người, tay chân mềm không ấm hoặc lạnh, mặt trắng, môi xám, đờm dãi nhiều, lưỡi tối nhạt, rêu trắng nhờn, mạch Trầm Hoạt hoặc Trầm Hoãn","lưỡi tối nhạt, rêu trắng nhờn",mạch Trầm Hoạt hoặc Trầm Hoãn,Ôn dương hóa đờm tỉnh thần khai khiếu - Cổn Đờm Thang kèm Tô Hợp Hương Hoàn,"Bán hạ, Trần bì, Phục linh, Nam tinh, Trúc nhự, Xương bồ, Tô Hợp Hương Hoàn"
Trúng phong,"Nguyên khí bại thoát, Thần minh tán loạn","liệt, méo miệng, bán thân bất toại, tê bại, khó nói, mất ngôn ngữ, trúng phong, tai biến","Đột ngột hôn mê, tay chân mềm yếu, ra mồ hôi nhiều, nặng thì toàn thân lạnh, nặng nề, tiêu tiểu không tự chủ, lưỡi mềm, lưỡi đỏ tối, rêu trắng nhờn, mạch Trầm Hoãn hoặc Trầm Vi","lưỡi mềm, lưỡi đỏ tối, rêu trắng nhờn",mạch Trầm Hoãn hoặc Trầm Vi,Ích khí hồi dương cố thoát - Sâm phụ thang,"Nhân sâm, Phụ tử"
Trúng phong,Phong trúng kinh lạc,"liệt, méo miệng, bán thân bất toại, tê bại, khó nói, mất ngôn ngữ, trúng phong, tai biến","Giai đoạn mới phát, liệt nửa người, miệng méo, lưỡi lệch, tê bì",lưỡi lệch,,Dưỡng huyết khu phong thông kinh hoạt lạc - Đại Tần Giao Thang,"Tần giao, Qui đầu, Khương hoạt, Độc hoạt, Bạch chỉ, Bạch thược, Hoàng cầm, Tế tân, Thục địa, Bạch truật, Bạch linh, Xuyên khung, Cam thảo, Thạch cao"
Trúng phong,Khí hư huyết ứ,"liệt, méo miệng, bán thân bất toại, tê bại, khó nói, mất ngôn ngữ, trúng phong, tai biến","Sau giai đoạn cấp, di chứng liệt nửa người, miệng méo, nói khó",,,Bổ khí trừ ứ thông kinh hoạt lạc - Bổ dương hoàn ngũ thang,"Hoàng kỳ, Xuyên khung, Qui xuyên, Đào nhân, Xích thược, Hồng hoa, Địa long"
Ung thư can,"Can khí uất kết, tỳ thất kiện vận","khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","Vùng gan chướng đau liên tục, đau tăng khi ấn gõ, ăn kém, vị quản chướng đầy hoặc đau, toàn thân vô lực, sắc mặt vàng bủng, đại tiện lỏng nát, lưỡi nhợt hoặc bệu to, rìa lưỡi có hằn răng, mạch hư nhược hoặc tế nhược hoặc huyền tế vô lực","lưỡi nhợt hoặc bệu to, rìa lưỡi có hằn răng",mạch hư nhược hoặc tế nhược hoặc huyền tế vô lực,Sài hồ sơ can tán gia giảm,"Sài hồ, Bạch thược, Chỉ sác, Trích thảo, Xuyên khung, Hương phụ, Mẫu lệ, Sinh địa"
Ung thư can,"Huyết ứ nội trở, can lạc bất thông","khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","Đau nhói vùng gan, cự án, bệnh ngày nhẹ đêm nặng, khô miệng, không muốn ăn, sắc mặt sạm đen, hình thể gầy gò, đa số có kỳ nhiệt, da cơ khô, móng tay móng chân khô sác, có thể có bàn tay son, sao mạch, nôn ra máu, ỉa ra máu, lưỡi xám tía có ban điểm ứ huyết, mạch huyền hoặc tế nhược",lưỡi xám tía có ban điểm ứ huyết,mạch huyền hoặc tế nhược,Phục nguyên hoạt huyết thang gia giảm,"Đào nhân, Hồng hoa, Đại hoàng, Thiên hoa phấn, Đương quy, Sài hồ, Xuyên sơn giáp, Tam lăng, Nga truật, Diên hồ sách, Uất kim, Cam thảo"
Ung thư can,"Ứ độc nội trở, ngoan tụ bất tán","khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","Vùng gan đau kịch liệt, đau mỗi ngày một tăng hoặc chướng đau, có lúc sốt cao, có lúc không sốt, bệnh tình tiến triển tăng, vàng da, vàng mắt, có phúc thủy, tiểu vàng đỏ, lưỡi hồng, rêu vàng hoặc vàng nhờn, mạch hoạt sác","lưỡi hồng, rêu vàng hoặc vàng nhờn",mạch hoạt sác,Nhân trần cao thang gia giảm,"Nhân trần, Sơn chi, Đại hoàng, Bạch hoa xà thiệt thảo, Hoàng cầm, Bồ công anh, Sài hồ, Mộc hương, Hương phụ, Diên hồ sách"
Ung thư can,"Khí âm song hao, chính bất thắng tà","khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","Sắc mặt xám đen hoặc xám bệch, thiểu khí phạp lực, loạn ngôn, tự hãn, vùng gan ẩn thống, khí nghịch ẩu thổ, đại tiện lỏng nát, lông tóc khô cứng, móng tay và móng chân khô ráp, lưỡi không có hằn răng, mất rêu, mạch tế nhược","lưỡi không có hằn răng, mất rêu",mạch tế nhược,Lục vị địa hoàng hoàn gia giảm,"Đan bì, Bạch linh, Trạch tả, Thục địa, Sơn thù, Hoài sơn, Miết giáp, Sinh Mẫu lệ, Trần bì, Nhân sâm"
Nhũ tịch,Can uất đờm ngưng,"vú, tuyến vú, đau vú, sưng vú, cục ở vú, núm vú, tắc sữa, áp xe vú","Tinh thần bứt rứt dễ cáu gắt, mất ngủ, hay mơ, bầu vú đau tức, chất lưỡi đỏ, rêu trắng mỏng, mạch Huyền","chất lưỡi đỏ, rêu trắng mỏng",mạch Huyền,Tiêu Dao Bối Lâu Tán hoặc Lục Thần Toàn Yết Hoàn,"Sài hồ, Đương quy, Bạch thược, Bạch truật, Phục linh, Cam thảo, Bối mẫu, Qua lâu, Bạc hà, Sinh khương"
Nhũ tịch,Xung nhâm thất điều,"vú, tuyến vú, đau vú, sưng vú, cục ở vú, núm vú, tắc sữa, áp xe vú","Kèm kinh nguyệt không đều, vùng thắt đau lưng nhức, kinh ít, thống kinh hoặc kinh bế, chất lưỡi đỏ nhạt, rêu trắng mỏng, mạch Huyền Tế hoặc Trầm Tế","chất lưỡi đỏ nhạt, rêu trắng mỏng",mạch Huyền Tế hoặc Trầm Tế,Nhị Tiên Thang,"Tiên mao, Dâm dương hoắc, Qui đầu, Ba kích, Tri mẫu, Hoàng bá, Xuyên khung, Thục địa, Bạch thược"
Nhũ tịch,"Can uất đờm ngưng, khí trệ huyết ứ","vú, tuyến vú, đau vú, sưng vú, cục ở vú, núm vú, tắc sữa, áp xe vú","Nhũ tịch do can uất đờm ngưng, khí trệ huyết ứ",,,Nhũ Tịch Thang,"Sài hồ, Bạch truật, Mẫu lệ, Qui bản, Qui đầu, Hoàng kỳ, Xích thược, Lưỡng đàu tiêm, Bán hạ, Xuyên khung, Bội lan, Trần bì"
Nhũ tịch,Đờm ngưng khí trệ,"vú, tuyến vú, đau vú, sưng vú, cục ở vú, núm vú, tắc sữa, áp xe vú",Nhũ tịch do đờm ngưng khí trệ,,,Qua Lâu Thang Gia Vị,"Qui đầu, Qua lâu, Nhũ hương, Một dược, Cam thảo, Cát cánh, Lệ hạch chi"
Ung thư phế,Âm hư đờm nhiệt,"khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","Đờm ít hoặc đờm trắng dính hoặc có máu, miệng lưỡi khô, sốt về chiều, mồ hôi trộm, lưỡi đỏ rêu mỏng vàng dính, mạch hoạt sác, bệnh lâu ngày người gầy","miệng lưỡi khô, lưỡi đỏ rêu mỏng vàng dính",mạch hoạt sác,Dưỡng âm thanh phế,"Sa sâm, Nam Sa sâm, Mạch môn, Thiên môn, Thạch hộc, Tang bì, Sinh địa, Huyền sâm, Qua lâu, Tử uyển, Rấp cỏ, Bán liên chi, Sơn đậu căn, Lô căn tươi, Ý dĩ, Đông qua nhân, Tỳ bà diệp, A giao, Xuyên Bối mẫu, Sinh thạch cao, Hải giáp sác"
Ung thư phế,Khí âm hư,"khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","Tiếng ho nhỏ, ít đờm, đờm lỏng nhớt, khó thở, mệt mỏi ưa nằm, ăn kém, người gầy, sắc mặt tái nhợt, khô miệng, lưỡi đỏ, mạch tế nhược",lưỡi đỏ,mạch tế nhược,Bổ khí dưỡng âm,"Ngũ vị, Mạch môn, Sa sâm, Đan sâm, Thục địa, Xuyên Bối mẫu, Hoài sơn"
Ung thư phế,Khí huyết ứ trệ,"khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","Khó thở, sườn đau tức ngực, váng đầu, ho đàm khó khạc, đàm có dính máu, giãn tĩnh mạch thành ngực hoặc tràn dịch màng phổi, môi lưỡi tím có nốt ứ huyết, rêu lưỡi mỏng vàng, mạch huyền sáp","môi lưỡi tím có nốt ứ huyết, rêu lưỡi mỏng vàng",mạch huyền sáp,"Hành khí hoạt huyết, hoá đàm nhuyễn kiên","Hạ khô thảo, Hải tảo, Bối mẫu, Huyền sâm, Thiên hoa, Xích thược, Xuyên sơn giáp"
Ung thư phế,Khí âm lưỡng hư,"khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","Ung thư phổi thể khí âm lưỡng hư, ho khan, đờm dính hoặc có máu, người gầy, mệt mỏi",,,Bài thuốc kinh nghiệm(không có tên cụ thể),"Sa sâm, Hoài sơn, Rấp cá, Bán liên chi, Bạch hoa xà, Thiên môn, Mạch môn, Xuyên Bối mẫu, Tri mẫu, A giao, Tang diệp, Bạch linh, Sinh địa, Tam thất, Cam thảo"
Ung thư não – U não,Âm hư nhiệt kết,"khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","U não, đau đầu, mờ mắt, chóng mặt, choáng ngất, sắc mặt vàng héo, người gầy, lưỡi đỏ nhẵn bóng không rêu, ngủ mê, mạch thốn hồng xích sáp",lưỡi đỏ nhẵn bóng không rêu,mạch thốn hồng xích sáp,Bổ âm thanh nhiệt thông khiếu,"Sinh địa, Huyền sâm, Xương bồ, Bạch thược, Uất kim, Qui bản, Thiên trúc hoàng, Thạch quyết minh, Trân châu mẫu, Đại giả thạch, Ngưu tất, Câu đằng, Viễn trí, Quất lạc, Đào nhân, Đương qui, Trúc nhự, Địa long"
Ung thư não – U não,Âm hư nhiệt kết,"khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","U lành tuyến yên, choáng váng đầu, mất ngủ, mộng mị nhiều, lòng dạ dày dứt rối bời, thắt lưng mỏi, đầu gối yếu, sắc mặt xám xịt, tóc rụng, lưỡi đỏ, rêu trắng, mạch huyền hoạt","lưỡi đỏ, rêu trắng",mạch huyền hoạt,Bổ âm thanh nhiệt,"Đan sâm, Hà thủ ô, Xương bồ, Cúc hoa, Nữ trinh tử, Sơn từ cô, Mẫu lệ, Bạch hoa xà"
Ung thư não – U não,Tỳ hư đàm kết,"khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","Đầu óc choáng váng, mờ mắt, kinh nguyệt rối loạn, u tuyến yên, đầu óc không tỉnh táo, nhìn vật không rõ, thiểu khí, lười nói, tự nhiên ra mồ hôi, đại tiện nát, hai đầu vú tràn sữa, lưỡi nhạt, mạch tế nhược",lưỡi nhạt,mạch tế nhược,Kiện tỳ hóa đàm,"Bán hạ, Nam tinh, Cương tàm, Thạch kiến xuyên, Mẫu lệ, Hoàng kỳ, Đương qui, Cam thảo, Bạch truật, Phù tiểu mạch, Bạch biển đậu"
Ung thư não – U não,Đàm thấp nội trở,"khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","U não, lợm giọng buồn nôn, nôn mửa, đau đầu, mờ mắt",,,Hóa đàm trừ thấp,"Bán hạ, Trần bì, Uy linh tiên, Vân linh, Đởm nam tinh, Chỉ thực, Bạch truật, Xương bồ, Trúc nhự, Thanh mông thạch, Qua lâu, Trư linh"
Ung thư não – U não,Tỳ thận dương hư,"khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","U não, tay chân lạnh, đau đầu, đau nhiều về sáng, đại tiện lỏng loãng, mạch xích trầm nhược",,mạch xích trầm nhược,Ôn bổ tỳ thận,"Thục địa, Sơn thù, Thỏ ty tử, Ích trí nhân, Vân linh, Trạch tả, Phụ tử, Nhục quế, Ngưu tất, Lộc giác giao, Xa tiền tử, Bổ cốt chỉ, Bạch truật"
Ung thư não – U não,Âm hư huyết ứ,"khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","Người gầy, lưỡi đỏ ít rêu có vết bầm tím, ngủ kém mê nhiều, đau như dùi đâm",lưỡi đỏ ít rêu có vết bầm tím,,Tư âm hoạt huyết,"Thục địa, Hoài sơn, Sơn thù, Đan bì, Bạch linh, Trạch tả, Đan sâm, Kỉ tử, Bán liên chi, Bạch hoa xà, Mạn kinh tử, Cúc hoa, Chỉ thực, Táo nhân, Liên nhục"
Ung thư não – U não,Can nhiệt,"khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","U não, miệng đắng, chóng mặt, mạch huyền sác",,mạch huyền sác,Thanh can nhiệt,"Sinh địa, Xích thược, Đởm thảo, Hoàng cầm, Trạch tả, Mộc thông, Ngưu tất, Chỉ tử, Đương qui, Hạ khô thảo, Cúc hoa, Xà lục cốc, Xa tiền thảo"
Uất chứng,Can khí uất kết,"căng thẳng, uất ức, buồn phiền, trầm cảm, lo âu, stress, tinh thần không, hay thở dài","Tinh thần căng thẳng, tâm trí không yên, ngực sườn đầy tức căng đau không cố định, ợ hơi, kém ăn, rêu trắng, mạch huyền",rêu trắng,mạch huyền,Sơ can lí khí giải uất,"Sài hồ, Bạch thược, Chỉ sác, Xuyên khung, Hương phụ, Sơn tra, Mạch nha, Thần khúc, Thanh bì, Sơn chi, Xương truật"
Uất chứng,Đờm trệ khí uất,"căng thẳng, uất ức, buồn phiền, trầm cảm, lo âu, stress, tinh thần không, hay thở dài","Mai hạch khí, cổ họng vướng mắc như bị tắc nghẹn, khạc không ra, nuốt không trôi, lúc tụ lúc tan, ngực buồn tức, rêu trắng, mạch huyền",rêu trắng,mạch huyền,"Hoá đờm, lợi khí, giải uất","Bán hạ, Bạch linh, Tô diệp, Hậu phác, Sinh khương, Táo"
Uất chứng,Tổn thần,"căng thẳng, uất ức, buồn phiền, trầm cảm, lo âu, stress, tinh thần không, hay thở dài","Tinh thần hoảng hốt không yên, u buồn muốn khóc, có lúc trầm ngâm, lưỡi nhạt, mạch tế",lưỡi nhạt,mạch tế,Dưỡng tâm an thần,"Cam thảo, Tiểu mạch, Táo, Táo nhân, Bạch linh, Hợp hoan bì, Bá tử nhân"
Uất chứng,Tâm tỳ hư,"căng thẳng, uất ức, buồn phiền, trầm cảm, lo âu, stress, tinh thần không, hay thở dài","Lo nghĩ hại tỳ, mất ngủ hay quên, sắc mặt không tươi, choáng đầu, mệt mỏi, chán ăn, lưỡi nhạt, mạch tế",lưỡi nhạt,mạch tế,Kiện tỳ dưỡng tâm bổ khí huyết,"Sinh khương, Bạch truật, Phục thần, Thục địa, Mộc hương, Viễn trí, Táo nhân, Qui đầu, Long nhãn, Đẳng sâm, Hoàng kỳ"
Ung thư thận,Âm hư hỏa vượng – tâm thận bất giao,"khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","Đột nhiên ngất, mặt mày xanh xám, môi miệng tím đen, răng nghiến chặt, trợn mắt, mồ hôi vã ra toàn thân, tay chân tê liệt, mệt nhọc hoặc ấn vào thắt lưng thì tái phát, chóng mặt đau đầu, hai mắt quầng đen, bức bối trong ngực, tim đập loạn nhịp, thở đoản hơi, hay nôn nóng cáu gắt, có lúc đau ngực",,,Tư âm phong hỏa,"Xuyên Hoàng liên, Hoàng cầm, A giao, Nữ trinh, Bạch thược, Hán liên thảo, Sinh địa, Ích mẫu, Kê tử hoàng, Sinh Mẫu lệ, Hạ khô thảo"
Ung thư thận,Vết mổ không lành,"khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","Khối u thận tế bào ác tính đã cắt bỏ nhưng miệng lỗ vết cắt lâu ngày không khỏi, sắc mặt trắng bệch, gầy gò hốc hác, tinh thần mệt mỏi, sức yếu ớt, màu da quanh miệng vết cắt xám đen, bị sụt lõm, mầm thịt trắng xanh, ấn ép có nước chảy mủ ra lúc đục lúc loãng, mùi hôi thối, lưỡi nhạt béo, rêu trắng nhuận, mạch trầm cấp, thốn vô lực","lưỡi nhạt béo, rêu trắng nhuận",mạch trầm cấp,"Ôn dương ích khí, điền bổ tinh huyết, nội thác bài nung","Sinh Hoàng kỳ, Pháo Phụ tử, Ý dĩ, Bại tương thảo, Bạch thược, Sinh Cam thảo, Thục địa, Lộc giác sương, Bạch giới tử, Ma hoàng, Nhục quế, Pháo khương"
Ung thư thận,Khí trệ huyết ứ ,"khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","Đau nhiều, lưỡi có vết bầm tím, mạch sáp",lưỡi có vết bầm tím,mạch sáp,"Hành khí hoạt huyết, hóa ứ chỉ thống","Đại hoàng, Thủy điệt, Nga truật, Thổ miết trùng, Sinh địa, Hồng sâm, Hoàng kỳ, Giáp châu, Xích thược"
Ung thư thận,Khí trệ huyết ứ ,"khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","Đau nhiều, lưỡi có vết bầm tím, mạch sáp",lưỡi có vết bầm tím,mạch sáp,"Hoạt huyết hóa ứ, thanh nhiệt giải độc","Tiểu kế, Cù mạch, Thạch kiến xuyên, Đại kế, Bạch hoa xà, Bán liên chi, Xích thược, Pháo sơn giáp, Tục đoạn, Ngưu tất, Trư linh"
Ung thư thận,Thận dương hư,"khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","Ung thư thận, tay chân lạnh giá",,,"Ôn bổ thận dương, hoạt huyết giải độc","Nhục quế, Chế phụ phiến, Thục địa, Sơn dược, Sơn du, Phục linh, Dâm dương hoắc, Tam thất phấn, Nhân sâm, Đan sâm, Bán liên chi, Bạch hoa xà"
Ung thư bàng quang,Thấp nhiệt hóa hỏa,"bàng quang, tiểu buốt, tiểu rắt, tiểu khó, bí tiểu, tiểu ra máu, tiểu nhiều lần, khối u","Tiểu ra máu từng lúc, màu đỏ tươi hoặc có máu cục, thường không đau, chất lưỡi đỏ, rêu vàng nhớt khô, mạch Huyền Sác","chất lưỡi đỏ, rêu vàng nhớt khô",mạch Huyền Sác,Tiểu kế ẩm tử gia giảm,"Tiểu kế, Bồ hoàng, Sinh địa, Hoàng bá, Mao căn, Ích mẫu, Đan bì, Đại hoàng, Xích thược, Địa du, Đạm Trúc diệp, Bạch vi, Sa tiền, Chi tử, Hoạt thạch"
Ung thư bàng quang,Thấp nhiệt ở hạ tiêu,"bàng quang, tiểu buốt, tiểu rắt, tiểu khó, bí tiểu, tiểu ra máu, tiểu nhiều lần, khối u","Tiểu ra máu hoặc trong nước tiểu có máu, tiểu tiện khó hoặc đau bụng dưới, đau tức, tiểu vàng, chất lưỡi đỏ rêu nhớt khô, mạch Huyền",chất lưỡi đỏ rêu nhớt khô,mạch Huyền,Long đởm tả can thang gia giảm,"Long đởm thảo, Chi tử, Hoàng cầm, Sài hồ, Sa tiền, Trạch tả, Mộc thông, Biển xúc, Cù mạch, Hoạt thạch, Bạch hoa xà, Bán liên chi, Bạch anh, Thổ phục linh"
Ung thư bàng quang,Âm hư thấp nhiệt,"bàng quang, tiểu buốt, tiểu rắt, tiểu khó, bí tiểu, tiểu ra máu, tiểu nhiều lần, khối u","Bệnh lâu ngày, mất máu, phần âm bị tổn thương, chóng mặt, ù tai, lưng gối đau mỏi, lòng bàn tay chân nóng, ra mồ hôi trộm, sốt về chiều, huyết niệu nhiều lần tái phát, lưỡi đỏ, rêu ít vàng, mạch Huyền Tế Sác","lưỡi đỏ, rêu ít vàng",mạch Huyền Tế Sác,Tri bá địa hoàng hoàn gia giảm,"Sinh địa, Hoài sơn, Sơn thù, Bạch linh, Đan bì, Trạch tả, Tri mẫu, Hoàng bá, Ngưu tất, Tang kí sinh, Nữ trinh tử, Hạn niên thảo, Ích mẫu, Mao căn, Qui bản"
Thực quản ái,Đàm khí uất kết,"khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","Ngực đầy, đau tức hoặc khó thở, nấc cụt, ợ hơi, khó nuốt, khô miệng, táo bón, rêu lưỡi trắng dày, mạch Huyền Hoạt",rêu lưỡi trắng dày,mạch Huyền Hoạt,Toàn phúc đại giả thạch thang gia giảm,"Toàn phúc hoa, Đại giả thạch, Bán hạ, Hương phụ, Mộc hương, Uất kim, Đan sâm, Phục linh, Chỉ sác, Cát cánh, Qua lâu, Phỉ bạch, Uy linh tiên, Nam tinh, Bạch anh, Hạ khô thảo, Trúc nhự, Ngõa lăng tử"
Thực quản ái,Huyết ứ,"khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","đau ngực, ăn vào nôn ra, nặng thì khó uống nước, phân như phân dê, người gầy khô da, lưỡi đỏ khô, mạch Tế Sáp",lưỡi đỏ khô,mạch Tế Sáp,Đào hồng tứ vật thang gia giảm,"Sinh địa, Qui đầu, Bạch thược, Xuyên khung, Đào nhân, Hồng hoa"
Thực quản ái,Nhiệt độc thương âm,"khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","Nuốt rất khó, lưng đau ngực bỏng rát, khô miệng, khô họng, ngũ tâm phiền nhiệt, táo bón, chất lưỡi đỏ, rêu ít hoặc không rêu, mạch Huyền Tế Sác","chất lưỡi đỏ, rêu ít hoặc không rêu",mạch Huyền Tế Sác,Tư âm thông cách ẩm gia giảm,"Bồ công anh, Hoàng liên, Chi tử, Sinh địa, Qui đầu, Xuyên khung, Sa sâm, Mạch môn, Huyền sâm, Tỳ bà diệp, Lô căn, Bạch hoa xà, Bán liên chi, Bạch anh, Hạ khô thảo"
Thực quản ái,Âm dương lưỡng hư,"khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","Nuốt không xuống, ngày càng gầy, mệt mỏi, hồi hộp, sắc mặt tái nhợt, tay chân thân mình mát lạnh, mặt sưng, chân phù, sắc lưỡi nhạt, mạch Tế Nhược",sắc lưỡi nhạt,mạch Tế Nhược,Bát trân thang hợp Bát vị hoàn gia giảm,"Hồng sâm, Hoàng kỳ, Thục địa, Xa nhân, Hoài sơn, Nhục quế, Kỉ tử, Phụ tử, Qui đầu, Bạch thược, Bạch linh, Táo, Cam thảo, Sinh khương"
Vị ái,Can vị bất hòa,"khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","Vùng thượng vị đầy đau, ợ mùi thối, buồn nôn, nôn, mạch Huyền",,mạch Huyền,Tiêu dao tán hợp Tuyền phúc đại giả thang gia giảm,"Sài hồ, Bạch thược, Bạch truật, Qui đầu, Hoàng liên, Bán hạ, Chỉ sác, Hậu phác, Trầm hương, Xuyên luyện tử, Tuyền phúc hoa, Đại giả thạch"
Vị ái,Tỳ vị hư hàn,"khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","đau bụng âm ỉ, ấn vào hoặc chườm nóng giảm, mệt mỏi, tay chân lạnh, tiêu lỏng, lưỡi nhạt bệu có dấu răng, mạch Trầm Huyền Nhược",lưỡi nhạt bệu có dấu răng,mạch Trầm Huyền Nhược,"Hoàng kỳ kiến trung thang, Hương Sa Lục Quân Thang gia giảm","Hoàng kỳ, Quế chi, Táo, Bạch thược, Cam thảo, Sinh khương, Di đường, Trần bì, Bán hạ, Mộc hương, Đẳng sâm, Bạch truật, Bạch linh, Xa nhân"
Vị ái,Vị âm hư,"khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","Cảm giác nóng cồn cào vùng thượng vị, khô miệng, ăn vào đau nhiều, ngũ tâm phiền nhiệt, táo bón, lưỡi đỏ không rêu, mạch Tế Sác",lưỡi đỏ không rêu,mạch Tế Sác,"Mạch môn đông thang, Nhất quán tiễn gia giảm","Mạch môn, Đẳng sâm, Bán hạ, Ngạch mễ, Táo, Cam thảo, Xuyên luyện tử, Sa sâm, Qui đầu, Kỉ tử, Sinh địa"
Vị ái,Huyết ứ,"khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","Vùng thượng vị đau dữ dội như dao đâm, đau cố định, không cho sờ vào khối u, đại tiện phân đen, chất lưỡi tím bầm hoặc có vết ban ứ huyết, mạch Trầm Sáp",chất lưỡi tím bầm hoặc có vết ban ứ huyết,mạch Trầm Sáp,Đào hồng tứ vật hợp Thất tiếu tán gia giảm,"Qui đầu, Thục địa, Xích thược, Xuyên khung, Đào nhân, Hồng hoa, Tam thất, Đan sâm, Bạch thược, Chỉ sác, Bồ hoàng, Ngũ linh chi"
Vị ái,Khí huyết đều hư,"khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","Thời kỳ cuối, cơ thể gầy đét, tinh thần mệt mỏi, môi lưỡi nhợt nhạt",môi lưỡi nhợt nhạt,,Thập toàn đại bổ thang gia giảm,"Nhân sâm, Hoàng kỳ, Bạch truật, Bạch linh, Trích thảo, Qui đầu, Thục địa, A giao, Hà thủ ô"
Vị ái,Lợi huyết thang,"khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","Tăng cường sức đề kháng, giảm tác dụng phụ hóa trị",,,Lợi huyết thang,"Hoàng kỳ, Thái tử sâm, Kê huyết đằng, Bạch truật, Bạch linh, Kỉ tử, Nữ trinh tử, Thỏ ti tử"
Vị ái,Tỳ thận phương,"khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","Tăng cường sức đề kháng, giảm tác dụng phụ hóa trị",,,Tỳ thận phương,"Đẳng sâm, Kỉ tử, Nữ trinh tử, Thỏ ti tử, Bạch truật, Cốt toái bổ"
Vị ái,Địa hoàng thang,"khối u, sụt cân, nuốt nghẹn, ho ra máu, u bướu, sưng hạch, di căn, ung thư","Tăng cường sức đề kháng, ức chế bệnh phát triển",,,Địa hoàng thang,"Sinh địa, Đẳng sâm, Hoàng tinh, Biển đậu, Hoàng kỳ"
